ticker,invested,final,return,cagr
USD,6800.0,38140.12212017124,4.6088414882604765,0.35567032053324676
GBTC,6800.0,30524.34551843697,3.488874340946613,0.3034160937670516
FNGO,6800.0,25761.637110688454,2.7884760456894786,0.26497510514569034
DFEN,6800.0,23503.44548101495,2.456389041325728,0.24466091072841212
ETHE,6800.0,21482.768092964838,2.159230601906594,0.2250714271258727
FAS,6800.0,17281.55153317216,1.5414046372312002,0.17891804420925905
TECL,6800.0,17013.462444916215,1.5019797713112082,0.17566983523471258
DGP,6800.0,16860.60579516155,1.47950085222964,0.17379888672415333
GREK,6800.0,16352.047537464388,1.4047128731565275,0.16747194238468732
BLOK,6800.0,16342.102806520637,1.4032504127236232,0.1673466142820179
